,Date,DayOfTheWeek,Time,NumberOfPeople,Longitude,Latitude
113,2016-11-04,5,7:30,1,-79.90675999999999,43.6533
114,2016-11-04,5,8:30,5,-79.90675999999999,43.6533
115,2016-11-04,5,9,12,-79.90675999999999,43.6533
116,2016-11-04,5,9:30,5,-79.90675999999999,43.6533
117,2016-11-05,6,10,10,-79.90675999999999,43.6533
118,2016-11-05,6,10:30,10,-79.90675999999999,43.6533
119,2016-11-05,6,11,9,-79.90675999999999,43.6533
120,2016-11-05,6,11:30,10,-79.90675999999999,43.6533
121,2016-11-05,6,12,6,-79.90675999999999,43.6533
122,2016-11-05,6,12:30,8,-79.90675999999999,43.6533
123,2016-11-05,6,13,8,-79.90675999999999,43.6533
124,2016-11-05,6,13:30,4,-79.90675999999999,43.6533
125,2016-11-05,6,14,4,-79.90675999999999,43.6533
126,2016-11-05,6,14:30,3,-79.90675999999999,43.6533
127,2016-11-05,6,15,5,-79.90675999999999,43.6533
128,2016-11-05,6,15:30,7,-79.90675999999999,43.6533
129,2016-11-05,6,16,6,-79.90675999999999,43.6533
130,2016-11-05,6,16:30,4,-79.90675999999999,43.6533
131,2016-11-05,6,18:30,1,-79.90675999999999,43.6533
132,2016-11-05,6,8,1,-79.90675999999999,43.6533
133,2016-11-05,6,8:30,8,-79.90675999999999,43.6533
134,2016-11-05,6,9,8,-79.90675999999999,43.6533
135,2016-11-05,6,9:30,7,-79.90675999999999,43.6533
136,2016-11-06,0,10,8,-79.90675999999999,43.6533
137,2016-11-06,0,10:30,6,-79.90675999999999,43.6533
138,2016-11-06,0,11,13,-79.90675999999999,43.6533
139,2016-11-06,0,11:30,7,-79.90675999999999,43.6533
140,2016-11-06,0,12,6,-79.90675999999999,43.6533
141,2016-11-06,0,12:30,9,-79.90675999999999,43.6533
142,2016-11-06,0,13,3,-79.90675999999999,43.6533
143,2016-11-06,0,13:30,5,-79.90675999999999,43.6533
144,2016-11-06,0,14,3,-79.90675999999999,43.6533
145,2016-11-06,0,14:30,7,-79.90675999999999,43.6533
146,2016-11-06,0,15,3,-79.90675999999999,43.6533
147,2016-11-06,0,15:30,7,-79.90675999999999,43.6533
148,2016-11-06,0,16,4,-79.90675999999999,43.6533
149,2016-11-06,0,16:30,1,-79.90675999999999,43.6533
150,2016-11-06,0,17,2,-79.90675999999999,43.6533
151,2016-11-06,0,9,1,-79.90675999999999,43.6533
152,2016-11-06,0,9:30,2,-79.90675999999999,43.6533
153,2016-11-07,1,10,4,-79.90675999999999,43.6533
154,2016-11-07,1,10:30,8,-79.90675999999999,43.6533
155,2016-11-07,1,11,8,-79.90675999999999,43.6533
156,2016-11-07,1,11:30,6,-79.90675999999999,43.6533
157,2016-11-07,1,12,4,-79.90675999999999,43.6533
158,2016-11-07,1,12:30,3,-79.90675999999999,43.6533
159,2016-11-07,1,13,5,-79.90675999999999,43.6533
160,2016-11-07,1,13:30,4,-79.90675999999999,43.6533
161,2016-11-07,1,14,4,-79.90675999999999,43.6533
162,2016-11-07,1,14:30,7,-79.90675999999999,43.6533
163,2016-11-07,1,15,4,-79.90675999999999,43.6533
164,2016-11-07,1,15:30,2,-79.90675999999999,43.6533
165,2016-11-07,1,16,1,-79.90675999999999,43.6533
166,2016-11-07,1,16:30,2,-79.90675999999999,43.6533
167,2016-11-07,1,17,2,-79.90675999999999,43.6533
168,2016-11-07,1,18,1,-79.90675999999999,43.6533
169,2016-11-07,1,8,1,-79.90675999999999,43.6533
170,2016-11-07,1,9,4,-79.90675999999999,43.6533
171,2016-11-07,1,9:30,5,-79.90675999999999,43.6533
172,2016-11-08,2,10,2,-79.90675999999999,43.6533
173,2016-11-08,2,10:30,6,-79.90675999999999,43.6533
174,2016-11-08,2,11,7,-79.90675999999999,43.6533
175,2016-11-08,2,11:30,4,-79.90675999999999,43.6533
176,2016-11-08,2,12,8,-79.90675999999999,43.6533
177,2016-11-08,2,12:30,5,-79.90675999999999,43.6533
178,2016-11-08,2,13,6,-79.90675999999999,43.6533
179,2016-11-08,2,13:30,1,-79.90675999999999,43.6533
180,2016-11-08,2,14,7,-79.90675999999999,43.6533
181,2016-11-08,2,14:30,5,-79.90675999999999,43.6533
182,2016-11-08,2,15,2,-79.90675999999999,43.6533
183,2016-11-08,2,15:30,2,-79.90675999999999,43.6533
184,2016-11-08,2,16,4,-79.90675999999999,43.6533
185,2016-11-08,2,16:30,1,-79.90675999999999,43.6533
186,2016-11-08,2,17,3,-79.90675999999999,43.6533
187,2016-11-08,2,8,1,-79.90675999999999,43.6533
188,2016-11-08,2,8:30,1,-79.90675999999999,43.6533
189,2016-11-08,2,9,5,-79.90675999999999,43.6533
190,2016-11-08,2,9:30,2,-79.90675999999999,43.6533
191,2016-11-09,3,10,2,-79.90675999999999,43.6533
192,2016-11-09,3,10:30,2,-79.90675999999999,43.6533
193,2016-11-09,3,11,7,-79.90675999999999,43.6533
194,2016-11-09,3,11:30,5,-79.90675999999999,43.6533
195,2016-11-09,3,12,6,-79.90675999999999,43.6533
196,2016-11-09,3,12:30,3,-79.90675999999999,43.6533
197,2016-11-09,3,13,7,-79.90675999999999,43.6533
198,2016-11-09,3,13:30,1,-79.90675999999999,43.6533
199,2016-11-09,3,14,4,-79.90675999999999,43.6533
200,2016-11-09,3,14:30,2,-79.90675999999999,43.6533
201,2016-11-09,3,15,2,-79.90675999999999,43.6533
202,2016-11-09,3,16,1,-79.90675999999999,43.6533
203,2016-11-09,3,16:30,1,-79.90675999999999,43.6533
204,2016-11-09,3,18,2,-79.90675999999999,43.6533
205,2016-11-09,3,19:30,1,-79.90675999999999,43.6533
206,2016-11-09,3,8,1,-79.90675999999999,43.6533
207,2016-11-09,3,8:30,1,-79.90675999999999,43.6533
208,2016-11-09,3,9,1,-79.90675999999999,43.6533
209,2016-11-09,3,9:30,1,-79.90675999999999,43.6533
210,2016-11-10,4,10,3,-79.90675999999999,43.6533
211,2016-11-10,4,10:30,5,-79.90675999999999,43.6533
212,2016-11-10,4,11,3,-79.90675999999999,43.6533
213,2016-11-10,4,11:30,4,-79.90675999999999,43.6533
214,2016-11-10,4,12,5,-79.90675999999999,43.6533
215,2016-11-10,4,12:30,4,-79.90675999999999,43.6533
216,2016-11-10,4,13,4,-79.90675999999999,43.6533
217,2016-11-10,4,13:30,3,-79.90675999999999,43.6533
218,2016-11-10,4,14,4,-79.90675999999999,43.6533
219,2016-11-10,4,14:30,2,-79.90675999999999,43.6533
220,2016-11-10,4,15,5,-79.90675999999999,43.6533
221,2016-11-10,4,15:30,2,-79.90675999999999,43.6533
222,2016-11-10,4,16,7,-79.90675999999999,43.6533
223,2016-11-10,4,16:30,1,-79.90675999999999,43.6533
224,2016-11-10,4,17,1,-79.90675999999999,43.6533
225,2016-11-10,4,8:30,3,-79.90675999999999,43.6533
226,2016-11-10,4,9,7,-79.90675999999999,43.6533
227,2016-11-10,4,9:30,6,-79.90675999999999,43.6533
228,2016-11-11,5,10,9,-79.90675999999999,43.6533
229,2016-11-11,5,10:30,6,-79.90675999999999,43.6533
230,2016-11-11,5,11,7,-79.90675999999999,43.6533
231,2016-11-11,5,11:30,9,-79.90675999999999,43.6533
232,2016-11-11,5,12,5,-79.90675999999999,43.6533
233,2016-11-11,5,12:30,3,-79.90675999999999,43.6533
234,2016-11-11,5,13,1,-79.90675999999999,43.6533
235,2016-11-11,5,13:30,5,-79.90675999999999,43.6533
236,2016-11-11,5,14,4,-79.90675999999999,43.6533
237,2016-11-11,5,14:30,5,-79.90675999999999,43.6533
238,2016-11-11,5,15,2,-79.90675999999999,43.6533
239,2016-11-11,5,16,3,-79.90675999999999,43.6533
240,2016-11-11,5,16:30,5,-79.90675999999999,43.6533
241,2016-11-11,5,17,5,-79.90675999999999,43.6533
242,2016-11-11,5,17:30,2,-79.90675999999999,43.6533
243,2016-11-11,5,8,4,-79.90675999999999,43.6533
244,2016-11-11,5,8:30,5,-79.90675999999999,43.6533
245,2016-11-11,5,9,9,-79.90675999999999,43.6533
246,2016-11-11,5,9:30,4,-79.90675999999999,43.6533
247,2016-11-12,6,10,10,-79.90675999999999,43.6533
248,2016-11-12,6,10:30,6,-79.90675999999999,43.6533
249,2016-11-12,6,11,9,-79.90675999999999,43.6533
250,2016-11-12,6,11:30,5,-79.90675999999999,43.6533
251,2016-11-12,6,12,6,-79.90675999999999,43.6533
252,2016-11-12,6,12:30,3,-79.90675999999999,43.6533
253,2016-11-12,6,13,9,-79.90675999999999,43.6533
254,2016-11-12,6,13:30,3,-79.90675999999999,43.6533
255,2016-11-12,6,14,9,-79.90675999999999,43.6533
256,2016-11-12,6,14:30,3,-79.90675999999999,43.6533
257,2016-11-12,6,15,8,-79.90675999999999,43.6533
258,2016-11-12,6,15:30,7,-79.90675999999999,43.6533
259,2016-11-12,6,16,5,-79.90675999999999,43.6533
260,2016-11-12,6,16:30,3,-79.90675999999999,43.6533
261,2016-11-12,6,8:30,1,-79.90675999999999,43.6533
262,2016-11-12,6,9,3,-79.90675999999999,43.6533
263,2016-11-12,6,9:30,7,-79.90675999999999,43.6533
264,2016-11-13,0,10,5,-79.90675999999999,43.6533
265,2016-11-13,0,10:30,4,-79.90675999999999,43.6533
266,2016-11-13,0,11,8,-79.90675999999999,43.6533
267,2016-11-13,0,11:30,15,-79.90675999999999,43.6533
268,2016-11-13,0,12,7,-79.90675999999999,43.6533
269,2016-11-13,0,12:30,2,-79.90675999999999,43.6533
270,2016-11-13,0,13,6,-79.90675999999999,43.6533
271,2016-11-13,0,13:30,5,-79.90675999999999,43.6533
272,2016-11-13,0,14,2,-79.90675999999999,43.6533
273,2016-11-13,0,14:30,2,-79.90675999999999,43.6533
274,2016-11-13,0,15,3,-79.90675999999999,43.6533
275,2016-11-13,0,16:30,7,-79.90675999999999,43.6533
276,2016-11-13,0,17:30,2,-79.90675999999999,43.6533
277,2016-11-13,0,9:30,6,-79.90675999999999,43.6533
278,2016-11-14,1,10,7,-79.90675999999999,43.6533
279,2016-11-14,1,10:30,4,-79.90675999999999,43.6533
280,2016-11-14,1,11,4,-79.90675999999999,43.6533
281,2016-11-14,1,11:30,3,-79.90675999999999,43.6533
282,2016-11-14,1,12,7,-79.90675999999999,43.6533
283,2016-11-14,1,12:30,3,-79.90675999999999,43.6533
284,2016-11-14,1,13,5,-79.90675999999999,43.6533
285,2016-11-14,1,13:30,6,-79.90675999999999,43.6533
286,2016-11-14,1,14,3,-79.90675999999999,43.6533
287,2016-11-14,1,14:30,2,-79.90675999999999,43.6533
288,2016-11-14,1,15,3,-79.90675999999999,43.6533
289,2016-11-14,1,15:30,4,-79.90675999999999,43.6533
290,2016-11-14,1,16,3,-79.90675999999999,43.6533
291,2016-11-14,1,17,1,-79.90675999999999,43.6533
292,2016-11-14,1,18,1,-79.90675999999999,43.6533
293,2016-11-14,1,7:30,1,-79.90675999999999,43.6533
294,2016-11-14,1,8:30,3,-79.90675999999999,43.6533
295,2016-11-14,1,9,2,-79.90675999999999,43.6533
296,2016-11-14,1,9:30,3,-79.90675999999999,43.6533
297,2016-11-15,2,10,4,-79.90675999999999,43.6533
298,2016-11-15,2,10:30,3,-79.90675999999999,43.6533
299,2016-11-15,2,11,5,-79.90675999999999,43.6533
300,2016-11-15,2,11:30,6,-79.90675999999999,43.6533
301,2016-11-15,2,12,7,-79.90675999999999,43.6533
302,2016-11-15,2,12:30,3,-79.90675999999999,43.6533
303,2016-11-15,2,13,5,-79.90675999999999,43.6533
304,2016-11-15,2,13:30,6,-79.90675999999999,43.6533
305,2016-11-15,2,14,3,-79.90675999999999,43.6533
306,2016-11-15,2,14:30,5,-79.90675999999999,43.6533
307,2016-11-15,2,15,2,-79.90675999999999,43.6533
308,2016-11-15,2,16,2,-79.90675999999999,43.6533
309,2016-11-15,2,17,2,-79.90675999999999,43.6533
310,2016-11-15,2,18,2,-79.90675999999999,43.6533
311,2016-11-15,2,7:30,1,-79.90675999999999,43.6533
312,2016-11-15,2,8,1,-79.90675999999999,43.6533
313,2016-11-15,2,9,7,-79.90675999999999,43.6533
314,2016-11-15,2,9:30,1,-79.90675999999999,43.6533
315,2016-11-16,3,10,2,-79.90675999999999,43.6533
316,2016-11-16,3,10:30,5,-79.90675999999999,43.6533
317,2016-11-16,3,11,3,-79.90675999999999,43.6533
318,2016-11-16,3,11:30,3,-79.90675999999999,43.6533
319,2016-11-16,3,12,5,-79.90675999999999,43.6533
320,2016-11-16,3,12:30,4,-79.90675999999999,43.6533
321,2016-11-16,3,13,4,-79.90675999999999,43.6533
322,2016-11-16,3,13:30,6,-79.90675999999999,43.6533
323,2016-11-16,3,14,2,-79.90675999999999,43.6533
324,2016-11-16,3,14:30,5,-79.90675999999999,43.6533
325,2016-11-16,3,15,2,-79.90675999999999,43.6533
326,2016-11-16,3,15:30,5,-79.90675999999999,43.6533
327,2016-11-16,3,16,2,-79.90675999999999,43.6533
328,2016-11-16,3,16:30,2,-79.90675999999999,43.6533
329,2016-11-16,3,17,2,-79.90675999999999,43.6533
330,2016-11-16,3,18,1,-79.90675999999999,43.6533
331,2016-11-16,3,7:30,1,-79.90675999999999,43.6533
332,2016-11-16,3,8,1,-79.90675999999999,43.6533
333,2016-11-16,3,9,6,-79.90675999999999,43.6533
334,2016-11-16,3,9:30,6,-79.90675999999999,43.6533
335,2016-11-17,4,10,5,-79.90675999999999,43.6533
336,2016-11-17,4,10:30,5,-79.90675999999999,43.6533
337,2016-11-17,4,11,6,-79.90675999999999,43.6533
338,2016-11-17,4,11:30,3,-79.90675999999999,43.6533
339,2016-11-17,4,12,7,-79.90675999999999,43.6533
340,2016-11-17,4,12:30,7,-79.90675999999999,43.6533
341,2016-11-17,4,13,6,-79.90675999999999,43.6533
342,2016-11-17,4,13:30,7,-79.90675999999999,43.6533
343,2016-11-17,4,14,2,-79.90675999999999,43.6533
344,2016-11-17,4,14:30,4,-79.90675999999999,43.6533
345,2016-11-17,4,15,4,-79.90675999999999,43.6533
346,2016-11-17,4,15:30,1,-79.90675999999999,43.6533
347,2016-11-17,4,16,3,-79.90675999999999,43.6533
348,2016-11-17,4,16:30,4,-79.90675999999999,43.6533
349,2016-11-17,4,17,2,-79.90675999999999,43.6533
350,2016-11-17,4,17:30,1,-79.90675999999999,43.6533
351,2016-11-17,4,7:30,1,-79.90675999999999,43.6533
352,2016-11-17,4,8,2,-79.90675999999999,43.6533
353,2016-11-17,4,8:30,1,-79.90675999999999,43.6533
354,2016-11-17,4,9,1,-79.90675999999999,43.6533
355,2016-11-17,4,9:30,1,-79.90675999999999,43.6533
356,2016-11-18,5,10,4,-79.90675999999999,43.6533
357,2016-11-18,5,10:30,6,-79.90675999999999,43.6533
358,2016-11-18,5,11,8,-79.90675999999999,43.6533
359,2016-11-18,5,11:30,5,-79.90675999999999,43.6533
360,2016-11-18,5,12,1,-79.90675999999999,43.6533
361,2016-11-18,5,12:30,5,-79.90675999999999,43.6533
362,2016-11-18,5,13,2,-79.90675999999999,43.6533
363,2016-11-18,5,13:30,2,-79.90675999999999,43.6533
364,2016-11-18,5,14,3,-79.90675999999999,43.6533
365,2016-11-18,5,14:30,7,-79.90675999999999,43.6533
366,2016-11-18,5,15,2,-79.90675999999999,43.6533
367,2016-11-18,5,15:30,4,-79.90675999999999,43.6533
368,2016-11-18,5,16,7,-79.90675999999999,43.6533
369,2016-11-18,5,17,4,-79.90675999999999,43.6533
370,2016-11-18,5,18:30,2,-79.90675999999999,43.6533
371,2016-11-18,5,8,2,-79.90675999999999,43.6533
372,2016-11-18,5,8:30,4,-79.90675999999999,43.6533
373,2016-11-18,5,9,7,-79.90675999999999,43.6533
374,2016-11-18,5,9:30,2,-79.90675999999999,43.6533
375,2016-11-19,6,10,13,-79.90675999999999,43.6533
376,2016-11-19,6,10:30,11,-79.90675999999999,43.6533
377,2016-11-19,6,11,8,-79.90675999999999,43.6533
378,2016-11-19,6,11:30,7,-79.90675999999999,43.6533
379,2016-11-19,6,12,3,-79.90675999999999,43.6533
380,2016-11-19,6,12:30,4,-79.90675999999999,43.6533
381,2016-11-19,6,13,8,-79.90675999999999,43.6533
382,2016-11-19,6,13:30,4,-79.90675999999999,43.6533
383,2016-11-19,6,14,6,-79.90675999999999,43.6533
384,2016-11-19,6,14:30,4,-79.90675999999999,43.6533
385,2016-11-19,6,15,5,-79.90675999999999,43.6533
386,2016-11-19,6,15:30,5,-79.90675999999999,43.6533
387,2016-11-19,6,16,4,-79.90675999999999,43.6533
388,2016-11-19,6,16:30,2,-79.90675999999999,43.6533
389,2016-11-19,6,8:30,6,-79.90675999999999,43.6533
390,2016-11-19,6,9,3,-79.90675999999999,43.6533
391,2016-11-19,6,9:30,7,-79.90675999999999,43.6533
392,2016-11-20,0,10,3,-79.90675999999999,43.6533
393,2016-11-20,0,10:30,5,-79.90675999999999,43.6533
394,2016-11-20,0,11,10,-79.90675999999999,43.6533
395,2016-11-20,0,11:30,8,-79.90675999999999,43.6533
396,2016-11-20,0,12,6,-79.90675999999999,43.6533
397,2016-11-20,0,12:30,8,-79.90675999999999,43.6533
398,2016-11-20,0,13:30,5,-79.90675999999999,43.6533
399,2016-11-20,0,14,5,-79.90675999999999,43.6533
400,2016-11-20,0,14:30,6,-79.90675999999999,43.6533
401,2016-11-20,0,15,9,-79.90675999999999,43.6533
402,2016-11-20,0,15:30,4,-79.90675999999999,43.6533
403,2016-11-20,0,18,1,-79.90675999999999,43.6533
404,2016-11-21,1,10,4,-79.90675999999999,43.6533
405,2016-11-21,1,10:30,1,-79.90675999999999,43.6533
406,2016-11-21,1,11,3,-79.90675999999999,43.6533
407,2016-11-21,1,11:30,1,-79.90675999999999,43.6533
408,2016-11-21,1,12,2,-79.90675999999999,43.6533
409,2016-11-21,1,12:30,3,-79.90675999999999,43.6533
410,2016-11-21,1,13,1,-79.90675999999999,43.6533
411,2016-11-21,1,13:30,3,-79.90675999999999,43.6533
412,2016-11-21,1,14,4,-79.90675999999999,43.6533
413,2016-11-21,1,14:30,4,-79.90675999999999,43.6533
414,2016-11-21,1,15,2,-79.90675999999999,43.6533
415,2016-11-21,1,15:30,2,-79.90675999999999,43.6533
416,2016-11-21,1,16,5,-79.90675999999999,43.6533
417,2016-11-21,1,7,1,-79.90675999999999,43.6533
418,2016-11-21,1,8,1,-79.90675999999999,43.6533
419,2016-11-21,1,8:30,2,-79.90675999999999,43.6533
420,2016-11-21,1,9,1,-79.90675999999999,43.6533
421,2016-11-21,1,9:30,7,-79.90675999999999,43.6533
422,2016-11-22,2,10,6,-79.90675999999999,43.6533
423,2016-11-22,2,10:30,1,-79.90675999999999,43.6533
424,2016-11-22,2,11,1,-79.90675999999999,43.6533
425,2016-11-22,2,11:30,1,-79.90675999999999,43.6533
426,2016-11-22,2,12,1,-79.90675999999999,43.6533
427,2016-11-22,2,12:30,4,-79.90675999999999,43.6533
428,2016-11-22,2,13,4,-79.90675999999999,43.6533
429,2016-11-22,2,13:30,3,-79.90675999999999,43.6533
430,2016-11-22,2,14,2,-79.90675999999999,43.6533
431,2016-11-22,2,14:30,1,-79.90675999999999,43.6533
432,2016-11-22,2,15,5,-79.90675999999999,43.6533
433,2016-11-22,2,15:30,2,-79.90675999999999,43.6533
434,2016-11-22,2,16:30,4,-79.90675999999999,43.6533
435,2016-11-22,2,17,2,-79.90675999999999,43.6533
436,2016-11-22,2,8,1,-79.90675999999999,43.6533
437,2016-11-22,2,9,1,-79.90675999999999,43.6533
438,2016-11-22,2,9:30,3,-79.90675999999999,43.6533
439,2016-11-23,3,10,5,-79.90675999999999,43.6533
440,2016-11-23,3,10:30,2,-79.90675999999999,43.6533
441,2016-11-23,3,11,1,-79.90675999999999,43.6533
442,2016-11-23,3,11:30,4,-79.90675999999999,43.6533
443,2016-11-23,3,12,1,-79.90675999999999,43.6533
444,2016-11-23,3,12:30,3,-79.90675999999999,43.6533
445,2016-11-23,3,13,4,-79.90675999999999,43.6533
446,2016-11-23,3,13:30,3,-79.90675999999999,43.6533
447,2016-11-23,3,14,2,-79.90675999999999,43.6533
448,2016-11-23,3,14:30,3,-79.90675999999999,43.6533
449,2016-11-23,3,15,4,-79.90675999999999,43.6533
450,2016-11-23,3,15:30,1,-79.90675999999999,43.6533
451,2016-11-23,3,16,2,-79.90675999999999,43.6533
452,2016-11-23,3,16:30,2,-79.90675999999999,43.6533
453,2016-11-23,3,17,2,-79.90675999999999,43.6533
454,2016-11-23,3,8,1,-79.90675999999999,43.6533
455,2016-11-23,3,9,3,-79.90675999999999,43.6533
456,2016-11-23,3,9:30,1,-79.90675999999999,43.6533
457,2016-11-24,4,10,8,-79.90675999999999,43.6533
458,2016-11-24,4,10:30,4,-79.90675999999999,43.6533
459,2016-11-24,4,11,2,-79.90675999999999,43.6533
460,2016-11-24,4,11:30,4,-79.90675999999999,43.6533
461,2016-11-24,4,12,3,-79.90675999999999,43.6533
462,2016-11-24,4,12:30,3,-79.90675999999999,43.6533
463,2016-11-24,4,13,4,-79.90675999999999,43.6533
